position,position_label,layer,mean,std,ci_low,ci_high,n_pairs
2,"entity name (e.g., Newton)",11,0.9052168945333452,0.10918793863701061,0.8555032638011095,0.9573903111742277,16
2,"entity name (e.g., Newton)",12,0.9069765727636117,0.10546394496221408,0.8584136306705519,0.9582465606157634,16
2,"entity name (e.g., Newton)",13,0.9105990794594299,0.10186883048716609,0.8643593838492966,0.9603106945435663,16
2,"entity name (e.g., Newton)",14,0.8994877429088013,0.10344076510341564,0.8516942005952569,0.9507101746445696,16
2,"entity name (e.g., Newton)",15,0.9029054957451845,0.10041871075860856,0.8577389922791104,0.9532003240535764,16
2,"entity name (e.g., Newton)",16,0.8975260327672783,0.10182042596763988,0.8502345003027479,0.9465995745315049,16
2,"entity name (e.g., Newton)",17,0.8912312261940253,0.10224668415158722,0.8444782580146306,0.9400129458976562,16
2,"entity name (e.g., Newton)",18,0.8839025956465193,0.10258714110989349,0.8356443470364477,0.9341970268306301,16
2,"entity name (e.g., Newton)",19,0.8796438343434964,0.10221820573904944,0.8319613858355991,0.9301116563620991,16
2,"entity name (e.g., Newton)",20,0.8737229032586744,0.10447262381707369,0.824540593904138,0.9244419344549875,16
2,"entity name (e.g., Newton)",21,0.8589184448511956,0.1063469324151806,0.8099392306852234,0.9078684435022185,16
2,"entity name (e.g., Newton)",22,0.8524375006044824,0.10641168171628886,0.8026256267426939,0.9020710923068711,16
2,"entity name (e.g., Newton)",23,0.7289377051302621,0.13815740546419264,0.6618451550642938,0.7920276092295968,16
2,"entity name (e.g., Newton)",24,0.40019374966365323,0.14907731719866357,0.3299613413547714,0.47114113348966585,16
2,"entity name (e.g., Newton)",25,0.3953699251017772,0.15244797710123234,0.3257415644019176,0.47033460230065527,16
2,"entity name (e.g., Newton)",26,0.19993827473354958,0.11975296769179093,0.14491287154933863,0.25742956167264264,16
2,"entity name (e.g., Newton)",27,0.1623266511207044,0.10486543110362241,0.1124556582748203,0.21154277988437545,16
2,"entity name (e.g., Newton)",28,0.16312333095845663,0.10441986912686661,0.1127979187470546,0.21137220467111875,16
2,"entity name (e.g., Newton)",29,0.15455087700846848,0.06878822112477852,0.1202894667042778,0.18546827627672446,16
2,"entity name (e.g., Newton)",30,0.14506748180467524,0.07382771421636442,0.10836826659097283,0.17793662467527002,16
2,"entity name (e.g., Newton)",31,0.10056323549231694,0.06404606554288364,0.0722502516343165,0.1317476116490101,16
2,"entity name (e.g., Newton)",32,0.08721758173724249,0.049366232303263466,0.06659986645839981,0.11332124333581617,16
2,"entity name (e.g., Newton)",33,0.08032017236732741,0.03447093179983659,0.0646848128410287,0.0973369918817946,16
2,"entity name (e.g., Newton)",34,0.0011123259633034563,0.007674160412602611,-0.002728960657538881,0.0047100101317398115,16
2,"entity name (e.g., Newton)",35,0.0,0.0,0.0,0.0,16
3,"""was"" immediately after entity",0,0.0006782280452901063,0.01890524651436044,-0.008956794808140043,0.008766567095669815,16
3,"""was"" immediately after entity",1,-0.004692101199454131,0.020334156468278713,-0.015822725324103986,0.003263294594053035,16
3,"""was"" immediately after entity",2,-0.0051916679900471,0.02600163455413627,-0.018886735790696975,0.005317760649818983,16
3,"""was"" immediately after entity",3,-0.004800201814257975,0.03139578068403105,-0.021025724782465404,0.007696068261621181,16
3,"""was"" immediately after entity",4,-0.0053010867575541114,0.021695466903570437,-0.0167302290827674,0.003707637546159394,16
3,"""was"" immediately after entity",5,-0.007258476790915293,0.017512829921229205,-0.015827989542566066,0.0005091593267133571,16
3,"""was"" immediately after entity",6,-0.003969684805747744,0.02817697224850796,-0.01847443787970537,0.007670216445223191,16
3,"""was"" immediately after entity",7,-0.0032004288093442435,0.023909828749994182,-0.01539677125785921,0.007414533915903563,16
3,"""was"" immediately after entity",8,-0.0038071428378870682,0.017538660780839908,-0.012051406993275513,0.004568172572116183,16
3,"""was"" immediately after entity",9,-0.002323956425518925,0.01492964053261693,-0.009651041008799618,0.004315698220601218,16
3,"""was"" immediately after entity",10,-0.002035189075630244,0.01152014943563201,-0.007301216743466811,0.0033645038112365745,16
3,"""was"" immediately after entity",11,0.0016206612741077122,0.007041403775353485,-0.0018382352941176375,0.005114179085928131,16
3,"""was"" immediately after entity",12,0.003988833643723481,0.010124959549892135,-0.0007380977921672621,0.00870805052790345,16
3,"""was"" immediately after entity",13,0.003879414876216475,0.009952912711755428,-0.0008757297190791423,0.008576734165344605,16
3,"""was"" immediately after entity",14,0.005794173167353444,0.011470819309042368,0.0005985562230344048,0.011073168831537118,16
3,"""was"" immediately after entity",15,0.007796466472496007,0.012438279775596838,0.0018056223575005721,0.013768780227142842,16
3,"""was"" immediately after entity",16,0.006557467243732519,0.011561077191959786,0.0011042240171930888,0.011871131778100808,16
3,"""was"" immediately after entity",17,0.008336461634464418,0.01182492685974377,0.002284978808171325,0.013538865190767446,16
3,"""was"" immediately after entity",18,0.007628635400522569,0.0116353274366161,0.002008082834484329,0.013018658473164404,16
3,"""was"" immediately after entity",19,0.008211499767440488,0.01152754844051133,0.002921859727320662,0.013852388899598889,16
3,"""was"" immediately after entity",20,0.008430323781445231,0.012738003171875751,0.0021616749468954467,0.014344261755834723,16
3,"""was"" immediately after entity",21,0.010186494999932627,0.01484676627002565,0.003097900617706558,0.017464270746266174,16
3,"""was"" immediately after entity",22,0.011306073440283126,0.016001625868090383,0.003740494971909881,0.019061302330125526,16
3,"""was"" immediately after entity",23,0.025895202315290595,0.014107244112240363,0.01967052741334178,0.03284513143621346,16
3,"""was"" immediately after entity",24,0.04127330011885281,0.014572303016552992,0.03447983835806158,0.048117247900388176,16
3,"""was"" immediately after entity",25,0.0396894769801982,0.01716123640799022,0.03185135621497364,0.04784862948347594,16
3,"""was"" immediately after entity",26,0.04729935734214,0.015763715534437273,0.04026557531168962,0.054968405197712004,16
3,"""was"" immediately after entity",27,0.04247048268330209,0.017426739473415602,0.034133405815232845,0.050820576869533646,16
