layer,position_group,mean,ci_low,ci_high,n_pairs
0,all_prompt_positions_oracle,1.0,1.0,1.0,16
0,except_subject,0.004339282293470369,-0.009267544675363514,0.02052592418331649,16
0,final_token,-0.000937214818602438,-0.004585293123200139,0.002487313034188034,16
0,first_role,-0.001288504160412687,-0.007535025228039934,0.004819084603064272,16
0,post_subject_excluding_final,0.006317656787516067,-0.007159778377071803,0.022729800525520042,16
0,post_subject_including_final,0.004339282293470369,-0.009930257653918842,0.0208813237662439,16
0,second_role,-0.0019641505379955505,-0.006276385742550032,0.001954935125115848,16
0,subject_span,0.9956607177065296,0.9796986102133161,1.0097306665762362,16
0,unrelated_prefix_negative_control,0.0,0.0,0.0,16
1,all_prompt_positions_oracle,1.0,1.0,1.0,16
1,except_subject,0.0007546387946204118,-0.012081585438662645,0.017215374213345815,16
1,final_token,0.0006165046379784643,-0.0022916798240074105,0.004148921694102417,16
1,first_role,-0.000951269907737258,-0.005174847854516835,0.003958140253320976,16
1,post_subject_excluding_final,0.0031581763547420924,-0.009920510579801839,0.02040384004747862,16
1,post_subject_including_final,0.0007546387946204118,-0.011142997829657946,0.018448720115809364,16
1,second_role,-0.0018344622331691296,-0.0062947930522437474,0.0020735833801738394,16
1,subject_span,0.9992453612053795,0.9827080326493993,1.012242712071566,16
1,unrelated_prefix_negative_control,0.0,0.0,0.0,16
2,all_prompt_positions_oracle,1.0,1.0,1.0,16
2,except_subject,0.00398522790526467,-0.009412679334554336,0.020745377477914242,16
2,final_token,-0.0006516173003241969,-0.004418934996173908,0.003373872090927814,16
2,first_role,0.004858179756301656,-0.0043597757725058,0.014938917239088386,16
2,post_subject_excluding_final,0.0032084112751912626,-0.011288875007894404,0.01882182560607467,16
2,post_subject_including_final,0.00398522790526467,-0.010227694360237464,0.02080583836098542,16
2,second_role,0.0012856840392165515,-0.004659262048192771,0.008419774159663865,16
2,subject_span,0.9960147720947353,0.976998491704374,1.0096291175897858,16
2,unrelated_prefix_negative_control,0.0,0.0,0.0,16
3,all_prompt_positions_oracle,1.0,1.0,1.0,16
3,except_subject,0.0020069090396816736,-0.018264897070123364,0.02138063660081148,16
3,final_token,0.00047699570940703596,-0.00445770704391394,0.00475107561656884,16
3,first_role,0.00143090291331424,-0.006086419379678623,0.011240071478601028,16
3,post_subject_excluding_final,-0.0052641784818654065,-0.026258638448102122,0.014948862203666473,16
3,post_subject_including_final,0.0020069090396816736,-0.018009348159118133,0.021688022671864225,16
3,second_role,0.0011178815536872766,-0.004371854404798682,0.005637591575091575,16
3,subject_span,0.9979930909603183,0.9749662765514204,1.0167816105032104,16
3,unrelated_prefix_negative_control,0.0,0.0,0.0,16
4,all_prompt_positions_oracle,1.0,1.0,1.0,16
4,except_subject,0.0031126984400668004,-0.019897592450441717,0.02489736983984575,16
4,final_token,-0.0013318939242190438,-0.007935276417340448,0.00519022264078045,16
4,first_role,-0.0005485667824822237,-0.0096631210922698,0.011776279504949637,16
4,post_subject_excluding_final,-0.0016589002327452452,-0.025530189557034132,0.0190912046737351,16
4,post_subject_including_final,0.0031126984400668004,-0.019165132482037908,0.023502859713741844,16
4,second_role,-0.0008641422141358755,-0.009457204309477244,0.006377867677616304,16
4,subject_span,0.9968873015599332,0.9753119817164027,1.0191417612718163,16
4,unrelated_prefix_negative_control,0.0,0.0,0.0,16
5,all_prompt_positions_oracle,1.0,1.0,1.0,16
5,except_subject,-0.0024426607461412123,-0.02965927354105065,0.021687950987203015,16
5,final_token,0.0020064035462597253,-0.00783265982481964,0.010080359302488693,16
5,first_role,0.0018241802049828273,-0.00508012951293617,0.007817875737648451,16
5,post_subject_excluding_final,0.0014788106757435643,-0.0212379723524025,0.020829183519951982,16
5,post_subject_including_final,-0.0024426607461412123,-0.029890568558878016,0.022798118105739947,16
5,second_role,-0.0026496455721055695,-0.01183873333816285,0.00467413177813603,16
5,subject_span,1.0024426607461412,0.9769222041885528,1.0300956429886212,16
5,unrelated_prefix_negative_control,0.0,0.0,0.0,16
6,all_prompt_positions_oracle,1.0,1.0,1.0,16
6,except_subject,0.004181931693806335,-0.026910125579571998,0.03349945650951144,16
6,final_token,0.0020335057099762984,-0.009152585820009189,0.01163977209473533,16
6,first_role,0.005962089882098963,-0.001722517426417586,0.013132987570028011,16
6,post_subject_excluding_final,0.006107561721458422,-0.01979668868422221,0.028307618108123375,16
6,post_subject_including_final,0.004181931693806335,-0.025193626138743132,0.03239275683048938,16
6,second_role,0.005367664906555764,-0.002238890831531552,0.012152501179889892,16
6,subject_span,0.9958180683061937,0.9674657567933336,1.0256140627670167,16
6,unrelated_prefix_negative_control,0.0,0.0,0.0,16
7,all_prompt_positions_oracle,1.0,1.0,1.0,16
7,except_subject,0.007042390781287481,-0.02459796821616724,0.031713644557817264,16
7,final_token,-0.003292746880378657,-0.015414579293255765,0.008073144641373375,16
7,first_role,0.0052309480663983235,-0.002097808686907539,0.013438703359334477,16
7,post_subject_excluding_final,0.007702900388994029,-0.011622037600953263,0.02784292508928566,16
7,post_subject_including_final,0.007042390781287481,-0.021912532969629,0.03276971496333319,16
7,second_role,0.00048632436073936373,-0.005343776546869853,0.006089294692235869,16
7,subject_span,0.9929576092187126,0.9684675001915695,1.0228165890574255,16
7,unrelated_prefix_negative_control,0.0,0.0,0.0,16
8,all_prompt_positions_oracle,1.0,1.0,1.0,16
8,except_subject,0.005103252711713939,-0.032959443309817295,0.03591500398955562,16
8,final_token,-0.0044110492754794225,-0.01720652203188968,0.006329947822042914,16
8,first_role,0.0052507421246051605,-0.002871498146485966,0.012829185702895617,16
