layer,position_group,mean,std,count
0,all_prompt_positions_oracle,1.0,0.0,16
0,except_subject,0.004339282293470369,0.031984150588106997,16
0,final_token,-0.000937214818602438,0.007414200147527421,16
0,first_role,-0.001288504160412687,0.01316508026785425,16
0,post_subject_excluding_final,0.006317656787516067,0.03240607154947063,16
0,post_subject_including_final,0.004339282293470369,0.031984150588106997,16
0,second_role,-0.0019641505379955505,0.008653993534748586,16
0,subject_span,0.9956607177065296,0.031984150588106997,16
0,unrelated_prefix_negative_control,0.0,0.0,16
1,all_prompt_positions_oracle,1.0,0.0,16
1,except_subject,0.0007546387946204118,0.03093095527521324,16
1,final_token,0.0006165046379784643,0.006648932028505466,16
1,first_role,-0.000951269907737258,0.010070367026040201,16
1,post_subject_excluding_final,0.0031581763547420924,0.033016861336663234,16
1,post_subject_including_final,0.0007546387946204118,0.03093095527521324,16
1,second_role,-0.0018344622331691296,0.008640969169557134,16
1,subject_span,0.9992453612053795,0.030930955275213234,16
1,unrelated_prefix_negative_control,0.0,0.0,16
2,all_prompt_positions_oracle,1.0,0.0,16
2,except_subject,0.00398522790526467,0.03291318926093778,16
2,final_token,-0.0006516173003241969,0.008443657548428239,16
2,first_role,0.004858179756301656,0.02048556158403856,16
2,post_subject_excluding_final,0.0032084112751912626,0.033573943923786674,16
2,post_subject_including_final,0.00398522790526467,0.03291318926093778,16
2,second_role,0.0012856840392165515,0.013731479127779191,16
2,subject_span,0.9960147720947353,0.03291318926093777,16
2,unrelated_prefix_negative_control,0.0,0.0,16
3,all_prompt_positions_oracle,1.0,0.0,16
3,except_subject,0.0020069090396816736,0.04140640024620961,16
3,final_token,0.00047699570940703596,0.009890886852708489,16
3,first_role,0.00143090291331424,0.018505799921625408,16
3,post_subject_excluding_final,-0.0052641784818654065,0.04601325080370829,16
3,post_subject_including_final,0.0020069090396816736,0.04140640024620961,16
3,second_role,0.0011178815536872766,0.010806227853076989,16
3,subject_span,0.9979930909603183,0.041406400246209625,16
3,unrelated_prefix_negative_control,0.0,0.0,16
4,all_prompt_positions_oracle,1.0,0.0,16
4,except_subject,0.0031126984400668004,0.04576972011990993,16
4,final_token,-0.0013318939242190438,0.013894294580205562,16
4,first_role,-0.0005485667824822237,0.022357642651882653,16
4,post_subject_excluding_final,-0.0016589002327452452,0.04472798803839626,16
4,post_subject_including_final,0.0031126984400668004,0.04576972011990993,16
4,second_role,-0.0008641422141358755,0.017035300446515345,16
4,subject_span,0.9968873015599332,0.045769720119909936,16
4,unrelated_prefix_negative_control,0.0,0.0,16
5,all_prompt_positions_oracle,1.0,0.0,16
5,except_subject,-0.0024426607461412123,0.0559690699404169,16
5,final_token,0.0020064035462597253,0.01879960195678244,16
5,first_role,0.0018241802049828273,0.014561633687799789,16
5,post_subject_excluding_final,0.0014788106757435643,0.04424568416161109,16
5,post_subject_including_final,-0.0024426607461412123,0.0559690699404169,16
5,second_role,-0.0026496455721055695,0.017855457817410603,16
5,subject_span,1.0024426607461412,0.0559690699404169,16
5,unrelated_prefix_negative_control,0.0,0.0,16
6,all_prompt_positions_oracle,1.0,0.0,16
6,except_subject,0.004181931693806335,0.06224654778704308,16
6,final_token,0.0020335057099762984,0.02197082975323209,16
6,first_role,0.005962089882098963,0.015100499237144311,16
6,post_subject_excluding_final,0.006107561721458422,0.05006855647880725,16
6,post_subject_including_final,0.004181931693806335,0.06224654778704308,16
6,second_role,0.005367664906555764,0.01526471670324683,16
6,subject_span,0.9958180683061937,0.06224654778704309,16
6,unrelated_prefix_negative_control,0.0,0.0,16
7,all_prompt_positions_oracle,1.0,0.0,16
7,except_subject,0.007042390781287481,0.057027449788045914,16
7,final_token,-0.003292746880378657,0.025187846895866343,16
7,first_role,0.0052309480663983235,0.01592964890504631,16
7,post_subject_excluding_final,0.007702900388994029,0.04537383055244973,16
7,post_subject_including_final,0.007042390781287481,0.057027449788045914,16
7,second_role,0.00048632436073936373,0.011403157066288144,16
7,subject_span,0.9929576092187126,0.0570274497880459,16
7,unrelated_prefix_negative_control,0.0,0.0,16
8,all_prompt_positions_oracle,1.0,0.0,16
8,except_subject,0.005103252711713939,0.07018091388869246,16
8,final_token,-0.0044110492754794225,0.024936111792916008,16
8,first_role,0.0052507421246051605,0.01595798121485996,16
8,post_subject_excluding_final,0.0032993014810227253,0.05289915186125582,16
8,post_subject_including_final,0.005103252711713939,0.07018091388869246,16
8,second_role,-0.0001442353663739203,0.01596061810828657,16
8,subject_span,0.994896747288286,0.07018091388869245,16
8,unrelated_prefix_negative_control,0.0,0.0,16
9,all_prompt_positions_oracle,1.0,0.0,16
9,except_subject,0.049112207378457284,0.09620840730601206,16
9,final_token,4.250696428955672e-05,0.027702229165620523,16
9,first_role,0.018746175850617323,0.021995929495555504,16
9,post_subject_excluding_final,0.03849183697436209,0.08302374054995401,16
9,post_subject_including_final,0.049112207378457284,0.09620840730601206,16
9,second_role,0.0033117153119570242,0.02399301689259459,16
9,subject_span,0.9508877926215428,0.09620840730601206,16
9,unrelated_prefix_negative_control,0.0,0.0,16
10,all_prompt_positions_oracle,1.0,0.0,16
10,except_subject,0.07125025530929191,0.10763606716651455,16
10,final_token,-0.002696105012977409,0.03956462189808909,16
