placement,filler_family,target_added_tokens,actual_added_tokens,layer,position_group,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
gap,cards,0,0,5,all_prompt_positions_oracle,normalized_recovery,1.0,1.0,0.0,1.0,1.0,16,8,20260716,2000
gap,cards,0,0,5,identity_control,normalized_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,0,0,5,post_subject_excluding_readout,normalized_recovery,-0.0012079976155981316,0.01048951048951045,0.044247855414162346,-0.01625525442628023,0.012494783233725376,16,8,20260716,2000
gap,cards,0,0,5,post_subject_including_readout,normalized_recovery,-0.0021563122086138264,0.01292819499341235,0.05745092681627264,-0.020209355013193344,0.014826909806079168,16,8,20260716,2000
gap,cards,0,0,5,readout_token,normalized_recovery,0.0003135013777038373,0.0,0.017594193274286817,-0.005704386645962729,0.006426835057621776,16,8,20260716,2000
gap,cards,0,0,5,subject_span,normalized_recovery,1.0014867481888419,0.9867295268028636,0.05635887515853711,0.9828332186382458,1.0213448071120454,16,8,20260716,2000
gap,cards,0,0,5,unrelated_pre_subject_control,normalized_recovery,0.0005835421385734063,0.0,0.014986574126404233,-0.007349542100557032,0.007315850847024613,16,8,20260716,2000
gap,cards,0,0,6,all_prompt_positions_oracle,normalized_recovery,1.0,1.0,0.0,1.0,1.0,16,8,20260716,2000
gap,cards,0,0,6,identity_control,normalized_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,0,0,6,post_subject_excluding_readout,normalized_recovery,0.0010726574191370821,0.01327047319713635,0.04272218508945874,-0.013536192068800756,0.013286491415218085,16,8,20260716,2000
gap,cards,0,0,6,post_subject_including_readout,normalized_recovery,0.0024500121735257815,0.015297202797202751,0.06172182734341318,-0.02086724273794568,0.022615746840737822,16,8,20260716,2000
gap,cards,0,0,6,readout_token,normalized_recovery,0.001343656459493444,0.00568181818181815,0.0246674605929658,-0.005257827388304617,0.008141542792374362,16,8,20260716,2000
gap,cards,0,0,6,subject_span,normalized_recovery,0.9934532135622366,0.9886363636363635,0.06055655348043721,0.973701870475975,1.0161185220988087,16,8,20260716,2000
gap,cards,0,0,6,unrelated_pre_subject_control,normalized_recovery,-0.001619479815463475,0.0,0.014978773212294239,-0.008635081474968198,0.004705075803317776,16,8,20260716,2000
gap,cards,0,0,7,all_prompt_positions_oracle,normalized_recovery,1.0,1.0,0.0,1.0,1.0,16,8,20260716,2000
gap,cards,0,0,7,identity_control,normalized_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,0,0,7,post_subject_excluding_readout,normalized_recovery,0.00363841276749703,0.0150588768115942,0.03966750851311389,-0.008456548812306085,0.013614319245856928,16,8,20260716,2000
gap,cards,0,0,7,post_subject_including_readout,normalized_recovery,0.006437814793465645,0.02,0.05601905289408076,-0.012955968852716175,0.022471970515461022,16,8,20260716,2000
gap,cards,0,0,7,readout_token,normalized_recovery,-0.001478575431356675,0.0,0.025908324430493082,-0.00829837249064942,0.005869126601896299,16,8,20260716,2000
gap,cards,0,0,7,subject_span,normalized_recovery,0.9941915798141858,0.9783509036144578,0.05764676396493501,0.9766303296255144,1.0145709597665697,16,8,20260716,2000
gap,cards,0,0,7,unrelated_pre_subject_control,normalized_recovery,0.0008293518076126751,0.0,0.011149234365342668,-0.003227276686176135,0.004854972925625087,16,8,20260716,2000
gap,cards,0,0,8,all_prompt_positions_oracle,normalized_recovery,1.0,1.0,0.0,1.0,1.0,16,8,20260716,2000
gap,cards,0,0,8,identity_control,normalized_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,0,0,8,post_subject_excluding_readout,normalized_recovery,0.0038298803818627575,0.015625,0.04577913634894542,-0.014432618439051807,0.01849688898876135,16,8,20260716,2000
gap,cards,0,0,8,post_subject_including_readout,normalized_recovery,0.0028423039877007806,0.02136363636363635,0.06813125582672312,-0.022313624809634666,0.021893724974006677,16,8,20260716,2000
gap,cards,0,0,8,readout_token,normalized_recovery,-0.003002321725823075,0.0,0.02807441726871243,-0.011171340256742669,0.004680700941116219,16,8,20260716,2000
gap,cards,0,0,8,subject_span,normalized_recovery,0.9928178389730576,0.9813899868247694,0.06885752100851314,0.9739663825757576,1.0153009159024577,16,8,20260716,2000
gap,cards,0,0,8,unrelated_pre_subject_control,normalized_recovery,0.00032678349866259383,0.0,0.009948461929375605,-0.0047387644765786606,0.004693449409049236,16,8,20260716,2000
gap,cards,0,0,9,all_prompt_positions_oracle,normalized_recovery,1.0,1.0,0.0,1.0,1.0,16,8,20260716,2000
gap,cards,0,0,9,identity_control,normalized_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,0,0,9,post_subject_excluding_readout,normalized_recovery,0.04105705290731399,0.0596590909090909,0.07026902458260796,0.009709929421801022,0.07006689818190745,16,8,20260716,2000
gap,cards,0,0,9,post_subject_including_readout,normalized_recovery,0.0477979466417662,0.0738636363636363,0.09447201525299821,0.012558811269086291,0.07858614733142051,16,8,20260716,2000
gap,cards,0,0,9,readout_token,normalized_recovery,-0.00037833678865879404,0.0048076923076923,0.028799650799123607,-0.008549983147847608,0.010057269123573555,16,8,20260716,2000
gap,cards,0,0,9,subject_span,normalized_recovery,0.9584835959791147,0.9375,0.09668700547163679,0.924248277246213,0.9963168337318457,16,8,20260716,2000
gap,cards,0,0,9,unrelated_pre_subject_control,normalized_recovery,-0.0010271900879917123,0.0,0.010667769774433003,-0.005549058618012412,0.0032920063405797125,16,8,20260716,2000
gap,cards,0,0,10,all_prompt_positions_oracle,normalized_recovery,1.0,1.0,0.0,1.0,1.0,16,8,20260716,2000
gap,cards,0,0,10,identity_control,normalized_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,0,0,10,post_subject_excluding_readout,normalized_recovery,0.06918284119925602,0.0782342657342657,0.06745432040581194,0.0372934300753594,0.10520926653749381,16,8,20260716,2000
gap,cards,0,0,10,post_subject_including_readout,normalized_recovery,0.07271252268444842,0.1022727272727272,0.10471604464735591,0.02802753349458512,0.11448764407573822,16,8,20260716,2000
gap,cards,0,0,10,readout_token,normalized_recovery,-0.002825314513821276,0.01048951048951045,0.03944928771372462,-0.015139969914596272,0.010259615869427715,16,8,20260716,2000
gap,cards,0,0,10,subject_span,normalized_recovery,0.9306599019923241,0.9045454545454545,0.1066731425914277,0.8894792821235535,0.976974302871042,16,8,20260716,2000
gap,cards,0,0,10,unrelated_pre_subject_control,normalized_recovery,-0.003063075282496438,0.0,0.010390703372782004,-0.00913819875776395,0.0023441592456783624,16,8,20260716,2000
gap,cards,0,0,11,all_prompt_positions_oracle,normalized_recovery,1.0,1.0,0.0,1.0,1.0,16,8,20260716,2000
gap,cards,0,0,11,identity_control,normalized_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
gap,cards,0,0,11,post_subject_excluding_readout,normalized_recovery,0.07976580748432419,0.06980519480519475,0.059123335656554525,0.05179246534715282,0.1124223134442945,16,8,20260716,2000
gap,cards,0,0,11,post_subject_including_readout,normalized_recovery,0.0989626235853809,0.09659090909090905,0.10143440644377409,0.05608948767491565,0.14008798162015645,16,8,20260716,2000
gap,cards,0,0,11,readout_token,normalized_recovery,0.0011534900842129709,0.011705914567360299,0.05283894421021033,-0.015095452159482731,0.015063942777036977,16,8,20260716,2000
