filler_family,target_added_tokens,actual_added_tokens,layer,position_group,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
cards,0,0,6,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,6,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,6,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,6,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,6,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,6,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,6,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,7,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,7,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,7,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,7,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,7,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,7,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,7,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,8,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,8,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,8,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,8,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,8,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,8,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,8,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,9,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,9,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,9,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,9,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,9,readout_token,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,9,subject_span,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,9,unrelated_pre_subject_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,10,all_prompt_positions_oracle,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,10,identity_control,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,10,post_subject_excluding_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
cards,0,0,10,post_subject_including_readout,gap_minus_prefix_recovery,0.0,0.0,0.0,0.0,0.0,16,8,20260716,2000
