placement,filler_family,target_added_tokens,actual_added_tokens,layer,value_field,mean,median,std_direction,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
gap,cards,0,0,0,combined_attention_effect,-0.0019764904479578427,0.0,0.0036322919268016994,-0.0033988646656785285,-0.0005434782608695692,16,8,20260716,2000
gap,cards,0,0,1,combined_attention_effect,-0.002854349680434588,-0.002173913043478304,0.006196306439828921,-0.006115378938599893,0.0003046568693476174,16,8,20260716,2000
gap,cards,0,0,2,combined_attention_effect,-0.0007759029353798376,0.0,0.00605936775297386,-0.003764184185379839,0.0018916745830595925,16,8,20260716,2000
gap,cards,0,0,3,combined_attention_effect,-0.0013137834192501218,0.0,0.007749669140645854,-0.004703711709486167,0.0017211515280489557,16,8,20260716,2000
gap,cards,0,0,4,combined_attention_effect,-0.0006373607696596574,0.0,0.007285601045449061,-0.004565217391304338,0.0030866657712867356,16,8,20260716,2000
gap,cards,0,0,5,combined_attention_effect,-0.0017618966744306402,0.0,0.005788401104775226,-0.003651864567158389,0.00034776138716355906,16,8,20260716,2000
gap,cards,0,0,6,combined_attention_effect,-0.003432502449995647,-0.005185961236249271,0.008337761093652961,-0.007194424122073577,0.00019563985182617562,16,8,20260716,2000
gap,cards,0,0,7,combined_attention_effect,-0.000378498142932238,-0.002173913043478304,0.00912417248732132,-0.005461321715153794,0.005873514767812223,16,8,20260716,2000
gap,cards,0,0,8,combined_attention_effect,-0.0010993202895356374,-6.071532165918825e-18,0.0095564106791595,-0.0068754497491442645,0.004178631699298609,16,8,20260716,2000
gap,cards,0,0,9,combined_attention_effect,0.0004207264676076201,0.0,0.011454366078086023,-0.005986089544513441,0.005674335671238198,16,8,20260716,2000
gap,cards,0,0,10,combined_attention_effect,0.004835104378416896,0.00808747412008281,0.017801267211158742,-0.004438234452899778,0.01548975286919856,16,8,20260716,2000
gap,cards,0,0,11,combined_attention_effect,0.00045814981124494246,1.0408340855860843e-17,0.018118783829171804,-0.009553205603409824,0.009632578299859492,16,8,20260716,2000
gap,cards,0,0,12,combined_attention_effect,-0.0025952520065930297,0.0,0.009215838319889062,-0.008312761040279153,0.0025929806181246625,16,8,20260716,2000
gap,cards,0,0,13,combined_attention_effect,6.969869894053022e-05,0.0,0.009173139829601488,-0.004812752453427828,0.00547230467816829,16,8,20260716,2000
gap,cards,0,0,14,combined_attention_effect,0.002408105538712198,1.734723475976807e-18,0.013983628159141082,-0.005251157027681263,0.010520676880332197,16,8,20260716,2000
gap,cards,0,0,15,combined_attention_effect,0.0004673768839910228,0.0,0.010448881417007533,-0.005449910856857352,0.006173231699080425,16,8,20260716,2000
gap,cards,0,0,16,combined_attention_effect,0.001521329383931291,1.0408340855860843e-17,0.009458795992428935,-0.0015504807692307576,0.005105163815464434,16,8,20260716,2000
gap,cards,0,0,17,combined_attention_effect,-0.008172378176624105,-0.003012048192771075,0.029078657958045595,-0.024415412486064665,0.005032989542160736,16,8,20260716,2000
gap,cards,0,0,18,combined_attention_effect,0.0006799210187457431,0.0,0.00846299081957001,-0.0032592588712238905,0.004733286131893463,16,8,20260716,2000
gap,cards,0,0,19,combined_attention_effect,0.0005108990307699551,0.005014822134387321,0.009262304395458124,-0.003605145251035199,0.004137954719646297,16,8,20260716,2000
gap,cards,0,0,20,combined_attention_effect,-0.0007751623955808966,0.0,0.011315615599444323,-0.00541377080096095,0.00457725862090261,16,8,20260716,2000
gap,cards,0,0,21,combined_attention_effect,0.007007120313334285,0.005014822134387337,0.012687288068136127,0.0009449575723843942,0.015071853531432304,16,8,20260716,2000
gap,cards,0,0,22,combined_attention_effect,0.005806159931335897,0.0036231884057971106,0.009225679258713957,0.002190348077533869,0.008741919383266173,16,8,20260716,2000
gap,cards,0,0,23,combined_attention_effect,0.06011274369905565,0.05389414802065406,0.025780289088036715,0.04467866703915518,0.07527061092779502,16,8,20260716,2000
gap,cards,0,0,24,combined_attention_effect,0.21054933094763956,0.20500000000000002,0.05960672357217886,0.17364308047483673,0.24865153025795123,16,8,20260716,2000
gap,cards,0,0,25,combined_attention_effect,-0.0010198512997446404,4.7704895589362195e-18,0.009717667045245269,-0.005848840201120388,0.004088786195388548,16,8,20260716,2000
gap,cards,0,0,26,combined_attention_effect,0.1696427879472217,0.16605351170568555,0.056979145255118366,0.13169580795710314,0.20621433692978786,16,8,20260716,2000
gap,cards,0,0,27,combined_attention_effect,0.0689958609746559,0.06534090909090912,0.026826242318882088,0.05279730792346405,0.08600825108994266,16,8,20260716,2000
gap,cards,0,0,28,combined_attention_effect,0.006126077216256538,0.005244755244755252,0.013298073924256797,-0.001277798462423522,0.014576561401370206,16,8,20260716,2000
gap,cards,0,0,29,combined_attention_effect,0.036881543276927796,0.0234375,0.03620560106539992,0.016331752559893734,0.06344851649708984,16,8,20260716,2000
gap,cards,0,0,30,combined_attention_effect,0.05869942874631806,0.05130693581780536,0.04027533298189145,0.0335061016858672,0.08481804173662613,16,8,20260716,2000
gap,cards,0,0,31,combined_attention_effect,0.0857169395048868,0.09035326086956522,0.02729313062445442,0.06700876130068978,0.10192587721013927,16,8,20260716,2000
gap,cards,0,0,32,combined_attention_effect,0.002887623020095845,0.0050148221343873246,0.04027418893831077,-0.023145302246440146,0.03148008827110382,16,8,20260716,2000
gap,cards,0,0,33,combined_attention_effect,0.004118822582984954,0.01214591567852438,0.04073832713138353,-0.025246271512429027,0.02769709321475625,16,8,20260716,2000
gap,cards,0,0,34,combined_attention_effect,0.10316363936749692,0.10999999999999999,0.03225172278237137,0.08092008073553908,0.1231754933164334,16,8,20260716,2000
gap,cards,0,0,35,combined_attention_effect,0.10327679224068449,0.10421686746987956,0.022614753106827243,0.09016489347297513,0.11925376399726517,16,8,20260716,2000
gap,cards,8,10,0,combined_attention_effect,0.0003225292863827,0.0,0.007921120355894798,-0.0033908952275326634,0.003935468999202546,16,8,20260716,2000
gap,cards,8,10,1,combined_attention_effect,-0.0010063167106022718,0.0,0.006410619179491566,-0.004741144331981301,0.002096219412694188,16,8,20260716,2000
gap,cards,8,10,2,combined_attention_effect,0.0023616110292843033,0.0,0.007592661394210633,-0.0015345278835716036,0.00597362052542971,16,8,20260716,2000
gap,cards,8,10,3,combined_attention_effect,0.000307585606462021,0.0,0.00633670724177965,-0.002879159734978447,0.0033408198122413637,16,8,20260716,2000
