layer,head,source_position,value_field,mean,median,ci95_low_cluster_bootstrap,ci95_high_cluster_bootstrap,num_directions,num_reciprocal_clusters,bootstrap_seed,bootstrap_resamples
23,0,0,combined_causal_effect,0.0015588924782219695,0.0,-0.0017842769209956673,0.004524943712161337,16,8,20260715,2000
23,0,1,combined_causal_effect,0.00047991546701399787,0.0,-0.003282862857251439,0.0038920466887216627,16,8,20260715,2000
23,0,10,combined_causal_effect,0.0024170680429172267,0.0024038461538461496,-0.0004980230720932116,0.005464558277716388,16,8,20260715,2000
23,0,2,combined_causal_effect,0.001948677625140272,0.0,-0.0013030163478957592,0.004889367317199401,16,8,20260715,2000
23,0,3,combined_causal_effect,0.0019142323376379207,0.0,-0.001759882725070232,0.005242832159382872,16,8,20260715,2000
23,0,4,combined_causal_effect,0.001328465918821227,0.0,-0.0018990705286561305,0.004823161479530156,16,8,20260715,2000
23,0,5,combined_causal_effect,0.003848807895684942,0.005681818181818207,0.0009194119610854472,0.007080015564445809,16,8,20260715,2000
23,0,6,combined_causal_effect,0.002407920488936807,0.0,-0.0015971521104799675,0.006500880990244701,16,8,20260715,2000
23,0,7,combined_causal_effect,-0.0009213417357099405,0.0,-0.004510869565217383,0.0018780048076923043,16,8,20260715,2000
23,0,8,combined_causal_effect,0.0015341458260996468,2.6020852139652106e-18,-0.0025584998095147357,0.004725642069009679,16,8,20260715,2000
23,0,9,combined_causal_effect,0.0002598088625622715,0.0,-0.002507857517024606,0.0028993032569839747,16,8,20260715,2000
23,1,0,combined_causal_effect,0.0029526329089868603,0.0,-6.610537691774797e-05,0.0055856028644899886,16,8,20260715,2000
23,1,1,combined_causal_effect,0.002946703037228181,0.0024038461538461453,-0.0009778411304079172,0.00683040125635233,16,8,20260715,2000
23,1,10,combined_causal_effect,-0.00109529595178372,0.0,-0.004810157665307973,0.002030422589186174,16,8,20260715,2000
23,1,2,combined_causal_effect,0.0014773707390915354,0.0,-0.0026672342780211735,0.004596487168105166,16,8,20260715,2000
23,1,3,combined_causal_effect,0.0017857972523373307,0.0,-0.002848810517691889,0.006643707704738519,16,8,20260715,2000
23,1,4,combined_causal_effect,0.0027048471236671054,0.005244755244755236,-0.002026341245354436,0.006438336134540279,16,8,20260715,2000
23,1,5,combined_causal_effect,0.0012604906988419357,0.0,-0.002852270539314229,0.0049232510800760725,16,8,20260715,2000
23,1,6,combined_causal_effect,0.0030006247156403503,0.005244755244755236,-1.1419003774293737e-05,0.005748142387803612,16,8,20260715,2000
23,1,7,combined_causal_effect,-4.486370739767079e-05,0.0,-0.0026624884753493625,0.002622830068482245,16,8,20260715,2000
23,1,8,combined_causal_effect,-0.000447917684670399,0.0,-0.004502590197393183,0.00319556936213696,16,8,20260715,2000
23,1,9,combined_causal_effect,0.0012892323376379128,0.0,-0.002965034473749355,0.0053772075983373495,16,8,20260715,2000
23,10,0,combined_causal_effect,-0.00035106418580872957,0.0,-0.004604376246737719,0.0037070926667479524,16,8,20260715,2000
23,10,1,combined_causal_effect,0.0004948401921927856,0.0,-0.003189537795450566,0.003962625994111301,16,8,20260715,2000
23,10,10,combined_causal_effect,0.0021169281925076853,0.0,-0.0015983451734663068,0.005528047831773593,16,8,20260715,2000
23,10,2,combined_causal_effect,0.04283795259069659,0.04271895273401298,0.027920487869745512,0.05677989238367708,16,8,20260715,2000
23,10,3,combined_causal_effect,0.002380747931868857,0.0,-0.000485276442307695,0.00510569876228844,16,8,20260715,2000
23,10,4,combined_causal_effect,0.012638874883955747,0.015024038461538453,0.009276773078161027,0.01652824298867711,16,8,20260715,2000
23,10,5,combined_causal_effect,0.002147181679280864,0.005244755244755236,-0.0019543528256164094,0.005637886265964553,16,8,20260715,2000
23,10,6,combined_causal_effect,0.005488064133788339,0.005244755244755236,0.0027446960519945485,0.008350882927313636,16,8,20260715,2000
23,10,7,combined_causal_effect,0.0024452455379765175,0.005681818181818207,-0.002003871878234982,0.006370445041258551,16,8,20260715,2000
23,10,8,combined_causal_effect,0.005622139750200908,0.008087474120082816,0.002390405902973847,0.008564333426090238,16,8,20260715,2000
23,10,9,combined_causal_effect,0.0032614237571839733,2.6020852139652106e-18,-8.520402830864341e-05,0.00597391750756773,16,8,20260715,2000
23,11,0,combined_causal_effect,0.0034756268428184373,0.0,-0.000578817714746613,0.007471995699810488,16,8,20260715,2000
23,11,1,combined_causal_effect,0.0006245769628921828,0.0,-0.0023466534032091065,0.0036145970198279884,16,8,20260715,2000
23,11,10,combined_causal_effect,0.0017136258775164994,0.0,-0.0026647696436208346,0.005684614860043649,16,8,20260715,2000
23,11,2,combined_causal_effect,0.0024541594621438454,0.0,-0.002070306702352893,0.006234041123734064,16,8,20260715,2000
23,11,3,combined_causal_effect,0.0019713453453304142,4.336808689942018e-18,-0.0011696338647765264,0.005069008551689274,16,8,20260715,2000
23,11,4,combined_causal_effect,0.0018614522373034703,0.0,-0.0024789233992064284,0.00582163833743522,16,8,20260715,2000
23,11,5,combined_causal_effect,0.0037893867348711193,2.6020852139652106e-18,0.00026082782706424916,0.006693813208083607,16,8,20260715,2000
23,11,6,combined_causal_effect,0.003215475593029284,0.0,-0.0005435060311120285,0.0071393699179127385,16,8,20260715,2000
23,11,7,combined_causal_effect,0.0005803464551807126,0.0,-0.0019822152697280024,0.0031541489419883058,16,8,20260715,2000
23,11,8,combined_causal_effect,0.003467770681769339,0.0,0.0009625458355159756,0.0061225466222407125,16,8,20260715,2000
23,11,9,combined_causal_effect,0.0011914474232769161,0.0,-0.0032105032648510863,0.004978610723515607,16,8,20260715,2000
23,12,0,combined_causal_effect,0.0002618878524129961,-4.336808689942018e-18,-0.0022140736860485413,0.002484226202468732,16,8,20260715,2000
23,12,1,combined_causal_effect,0.0033224978726038696,0.0,0.00019364052213051864,0.005995257630961459,16,8,20260715,2000
23,12,10,combined_causal_effect,0.002786933006534237,0.006464097496706218,-0.000948473967156029,0.0062637949304602284,16,8,20260715,2000
23,12,2,combined_causal_effect,0.004117126645998932,0.00524475524475527,0.0002645339262187124,0.008028421773538966,16,8,20260715,2000
23,12,3,combined_causal_effect,0.00047215918139831785,0.0,-0.0024949534161490604,0.0032710722248765756,16,8,20260715,2000
23,12,4,combined_causal_effect,0.0016638795986622073,0.0,-0.0015217391304347826,0.005698160535117048,16,8,20260715,2000
23,12,5,combined_causal_effect,0.0009509489604598328,0.0,-0.0017789208074534143,0.0036377495353378466,16,8,20260715,2000
23,12,6,combined_causal_effect,0.0009457933950162453,0.0,-0.00349792427479662,0.004582577956164014,16,8,20260715,2000
23,12,7,combined_causal_effect,0.0025250451541212414,0.0,0.000600961538461535,0.004905250999000997,16,8,20260715,2000
23,12,8,combined_causal_effect,-0.0004533215878324559,0.0,-0.004221437529861443,0.002661873905080423,16,8,20260715,2000
23,12,9,combined_causal_effect,0.0017877057844809291,0.0,-0.0011892676885330892,0.004748550456031885,16,8,20260715,2000
23,13,0,combined_causal_effect,0.002300137251570019,0.0024038461538461453,-0.0026682037617667886,0.006525628557565317,16,8,20260715,2000
23,13,1,combined_causal_effect,0.0021311447271026096,0.0,-0.001739488220678768,0.006071949824688434,16,8,20260715,2000
23,13,10,combined_causal_effect,0.002131112377887522,0.0,-0.0011688297160975846,0.005073962064514619,16,8,20260715,2000
23,13,2,combined_causal_effect,0.004150560999236274,0.003012048192771089,0.001280916207886323,0.006868338296667096,16,8,20260715,2000
23,13,3,combined_causal_effect,0.0016704943062001718,0.0,-0.0015289443346508513,0.004779650946443107,16,8,20260715,2000
23,13,4,combined_causal_effect,0.0006599596621675507,0.0,-0.0022557714237189286,0.0033466453934991665,16,8,20260715,2000
23,13,5,combined_causal_effect,0.0029467030372281834,0.0024038461538461666,-0.0008990555229812463,0.006906074132700062,16,8,20260715,2000
23,13,6,combined_causal_effect,0.002471700910050096,0.004807692307692299,-0.0006048813971920301,0.0052196277666513675,16,8,20260715,2000
23,13,7,combined_causal_effect,0.0008490354753941769,0.0,-0.0021428328804347814,0.004249656593406598,16,8,20260715,2000
23,13,8,combined_causal_effect,0.0014057635080074063,6.938893903907228e-18,-0.0014358119235836526,0.003986979806411143,16,8,20260715,2000
23,13,9,combined_causal_effect,0.0001574618775726237,0.0,-0.0030137575852589344,0.0032094451227922148,16,8,20260715,2000
23,14,0,combined_causal_effect,-0.0003557628965237659,0.0,-0.004155755928853739,0.00306605034458295,16,8,20260715,2000
23,14,1,combined_causal_effect,0.0015052073153296007,0.0,-0.002725274937358838,0.005023983107585358,16,8,20260715,2000
23,14,10,combined_causal_effect,0.0006548040967239506,0.0,-0.003394980472426116,0.004128477677241341,16,8,20260715,2000
23,14,2,combined_causal_effect,0.0005267920485311837,0.0,-0.002322399068322976,0.0031692308484088357,16,8,20260715,2000
23,14,3,combined_causal_effect,0.0012514297296906012,0.0,-0.0016267292490118523,0.003977158767410131,16,8,20260715,2000
23,14,4,combined_causal_effect,-0.00021696515667303198,0.0,-0.004073008661684762,0.0035324606326644315,16,8,20260715,2000
23,14,5,combined_causal_effect,0.001742501158262029,0.0024038461538461453,-0.003149383734472052,0.0061173207453778,16,8,20260715,2000
23,14,6,combined_causal_effect,0.003878454597038851,0.005681818181818207,0.0007267637677366782,0.006366113753490611,16,8,20260715,2000
23,14,7,combined_causal_effect,0.0011152487704858872,0.0,-0.003298115617950838,0.005140563076890585,16,8,20260715,2000
23,14,8,combined_causal_effect,0.0016716051158985974,0.0024038461538461453,-0.0026162361755092617,0.006106775923352004,16,8,20260715,2000
23,14,9,combined_causal_effect,-0.00045297767087438867,0.0,-0.005079490353645301,0.004115591631878322,16,8,20260715,2000
23,15,0,combined_causal_effect,0.0035499697306742056,0.002840909090909091,0.0005218890011627559,0.0069402409962659554,16,8,20260715,2000
23,15,1,combined_causal_effect,0.0015891459649951495,0.0024038461538461666,-0.0023705086594225525,0.00474599873631804,16,8,20260715,2000
23,15,10,combined_causal_effect,0.0037194281042807,0.002403846153846154,-0.000878073674214067,0.00883630194678524,16,8,20260715,2000
23,15,2,combined_causal_effect,0.0019586436568495218,0.0,-0.002420125164690378,0.005851413532801438,16,8,20260715,2000
23,15,3,combined_causal_effect,0.002306211170175861,0.0024038461538461453,-0.0025988814938969255,0.0061468740581761975,16,8,20260715,2000
23,15,4,combined_causal_effect,0.0007079484706841949,0.0,-0.001626506024096389,0.003321493044998483,16,8,20260715,2000
23,15,5,combined_causal_effect,0.002306086124020907,0.002403846153846154,-0.00016741291996046558,0.004898695054945045,16,8,20260715,2000
23,15,6,combined_causal_effect,0.00124388660479014,0.0,-0.0016313154901597445,0.004194509726290458,16,8,20260715,2000
23,15,7,combined_causal_effect,0.00031759918002920146,0.0,-0.0032504621220802096,0.0037618532749519383,16,8,20260715,2000
23,15,8,combined_causal_effect,0.0012361009680961997,0.0,-0.0016763112729804757,0.0042893447875297685,16,8,20260715,2000
23,15,9,combined_causal_effect,0.0006048639440324372,0.0,-0.0032578163444291035,0.0040647677361925596,16,8,20260715,2000
23,16,0,combined_causal_effect,0.0029976083719351625,0.0024038461538461453,-0.0018320636564522351,0.00718224366649587,16,8,20260715,2000
23,16,1,combined_causal_effect,0.002766685195016045,0.002173913043478261,-0.0014149650727415576,0.005676410358507033,16,8,20260715,2000
23,16,10,combined_causal_effect,0.001642493207203134,0.0,-0.002553288366295821,0.005296155950028223,16,8,20260715,2000
23,16,2,combined_causal_effect,0.002266558793566963,0.0,-4.1529780511605835e-05,0.004378780810680286,16,8,20260715,2000
23,16,3,combined_causal_effect,0.003469996716604071,0.005244755244755236,-0.0005120076581313793,0.006895354635474417,16,8,20260715,2000
23,16,4,combined_causal_effect,-0.00031280472313285256,2.6020852139652106e-18,-0.004811004292305077,0.0036898155088626724,16,8,20260715,2000
23,16,5,combined_causal_effect,0.0035125080415481136,0.005244755244755236,0.0005748817900058761,0.006476843355919441,16,8,20260715,2000
23,16,6,combined_causal_effect,0.002521834936578833,0.002403846153846148,-0.0007924903200995666,0.0055969069638182175,16,8,20260715,2000
23,16,7,combined_causal_effect,0.0013652575925035325,0.0,-0.0032649329625597514,0.005399241761109059,16,8,20260715,2000
23,16,8,combined_causal_effect,0.002124700538597296,0.0,-0.001919775989409136,0.006438445090495462,16,8,20260715,2000
23,16,9,combined_causal_effect,0.0008253274698607654,0.0,-0.002935965902270145,0.0038770223393737864,16,8,20260715,2000
23,17,0,combined_causal_effect,0.0017917007711545916,0.0,-0.0024512234242152616,0.0052999585517121755,16,8,20260715,2000
23,17,1,combined_causal_effect,0.0007575183534762381,0.0,-0.0023594521986165904,0.003587459302472888,16,8,20260715,2000
23,17,10,combined_causal_effect,-0.0002983398508194643,0.0,-0.005617309830115534,0.004496314487143297,16,8,20260715,2000
23,17,2,combined_causal_effect,8.770741328690694e-05,0.0,-0.0030656938170525085,0.0032375631056018365,16,8,20260715,2000
23,17,3,combined_causal_effect,-0.0003775225560191488,0.0,-0.004236783596837937,0.002932714687421002,16,8,20260715,2000
23,17,4,combined_causal_effect,0.0013174068345603689,0.002403846153846158,-0.0028297543149785,0.00475881451966285,16,8,20260715,2000
23,17,5,combined_causal_effect,0.0014111997603845482,0.0,-0.0016662703804347808,0.004659500655594407,16,8,20260715,2000
23,17,6,combined_causal_effect,-0.0005230760521181647,0.0,-0.004076936141304342,0.0026313841276477145,16,8,20260715,2000
23,17,7,combined_causal_effect,0.0015730766636018116,0.002840909090909091,-0.0015095899903963639,0.0048116798296866355,16,8,20260715,2000
23,17,8,combined_causal_effect,0.0038260477647407195,0.005244755244755245,-0.001224121721570057,0.00878048791381811,16,8,20260715,2000
23,17,9,combined_causal_effect,0.0030798706508645426,0.0024038461538461453,-0.0006860650459707815,0.0070107910842158805,16,8,20260715,2000
23,18,0,combined_causal_effect,0.0014253839457643801,0.0,-0.001093331939799334,0.0038248563596729283,16,8,20260715,2000
23,18,1,combined_causal_effect,0.000502412668171491,0.0,-0.00338694987636883,0.0038620806517247887,16,8,20260715,2000
23,18,10,combined_causal_effect,0.001672347072998593,0.0,-0.0024570614473705074,0.00525873565903932,16,8,20260715,2000
23,18,2,combined_causal_effect,0.0026048685236864585,4.336808689942018e-18,-0.0004943946452098614,0.005738842212475019,16,8,20260715,2000
23,18,3,combined_causal_effect,0.001956449971229877,0.0,-0.0007042354724080199,0.004276935516192807,16,8,20260715,2000
23,18,4,combined_causal_effect,0.0011630730562435644,0.0024038461538461453,-0.0032495297395114,0.0053317555406549874,16,8,20260715,2000
23,18,5,combined_causal_effect,0.002008610162482445,0.002403846153846148,-0.002471340197393191,0.005969866933903959,16,8,20260715,2000
23,18,6,combined_causal_effect,0.004007204186893735,0.005681818181818207,0.00033521420834600177,0.00782110524213106,16,8,20260715,2000
23,18,7,combined_causal_effect,0.0024806074819682285,0.0,-0.0011442927713819578,0.006213847576703968,16,8,20260715,2000
23,18,8,combined_causal_effect,-0.0008319066017795668,0.0,-0.003986631989916176,0.0023006525665599585,16,8,20260715,2000
23,18,9,combined_causal_effect,0.002124133396723755,0.0,-0.0007668743154435953,0.005151098901098891,16,8,20260715,2000
23,19,0,combined_causal_effect,0.0007918901184865912,1.214306433183765e-17,-0.0029315496409161416,0.0042587394489568406,16,8,20260715,2000
23,19,1,combined_causal_effect,0.0018429630272381737,0.0,-0.0005960187521521129,0.004516928857685214,16,8,20260715,2000
23,19,10,combined_causal_effect,0.0020641480921732365,0.005681818181818207,-0.0029248061720887784,0.006136960395059367,16,8,20260715,2000
23,19,2,combined_causal_effect,0.002378845395998933,0.002840909090909116,-0.0023347235517539454,0.007254310135912548,16,8,20260715,2000
23,19,3,combined_causal_effect,0.0022750393302404344,0.0024038461538461453,-0.001399765703748779,0.0056548831248854035,16,8,20260715,2000
23,19,4,combined_causal_effect,0.0016542574839110208,0.0,-0.0007289924749163807,0.0037749071934066844,16,8,20260715,2000
23,19,5,combined_causal_effect,0.001747630370764214,0.0,-0.0027235839355445298,0.006187554124546657,16,8,20260715,2000
23,19,6,combined_causal_effect,5.176356841168667e-05,0.0,-0.003175642292490102,0.0031852442549919965,16,8,20260715,2000
23,19,7,combined_causal_effect,0.0018173848350499283,0.0,-0.0032098967042920763,0.007319442881552047,16,8,20260715,2000
23,19,8,combined_causal_effect,0.00147016553487547,0.002403846153846154,-0.0035800131884223554,0.005933499623493983,16,8,20260715,2000
23,19,9,combined_causal_effect,-0.0001818086804499813,0.0,-0.0037764541844025512,0.0032233391608391627,16,8,20260715,2000
23,2,0,combined_causal_effect,0.0003909783610891047,0.0,-0.004024928811847124,0.004314037900338342,16,8,20260715,2000
23,2,1,combined_causal_effect,0.0005618044779070722,4.336808689942018e-18,-0.0026578304324015264,0.003419778875115841,16,8,20260715,2000
23,2,10,combined_causal_effect,-0.000985803994465677,0.0,-0.005203375789461885,0.0029318311472268563,16,8,20260715,2000
23,2,2,combined_causal_effect,0.000665363565329601,0.0,-0.002192242115900405,0.0034153507837271354,16,8,20260715,2000
23,2,3,combined_causal_effect,-0.00034707219727190717,0.0,-0.0057558813469139524,0.004079927808299172,16,8,20260715,2000
23,2,4,combined_causal_effect,0.0036555711625385714,0.0024038461538461453,0.0008901918196501483,0.006717363119817354,16,8,20260715,2000
23,2,5,combined_causal_effect,0.0008297220775121522,0.0,-0.0033013978992894677,0.005429018765578314,16,8,20260715,2000
23,2,6,combined_causal_effect,0.00029698109861153564,0.0,-0.002956685241841491,0.003496503496503504,16,8,20260715,2000
23,2,7,combined_causal_effect,0.00038249782441563876,0.0,-0.0033712704464721487,0.0035955481947457773,16,8,20260715,2000
23,2,8,combined_causal_effect,0.0014898815518720454,0.0028409090909090953,-0.0036118441680601933,0.0060476008366633326,16,8,20260715,2000
23,2,9,combined_causal_effect,0.0008792596110891043,0.0,-0.003195974955369187,0.004790585773604117,16,8,20260715,2000
23,20,0,combined_causal_effect,0.0021430132946817907,4.336808689942018e-18,-0.0010766067959727156,0.005068824370692161,16,8,20260715,2000
23,20,1,combined_causal_effect,0.0005570191823629523,0.0,-0.0034827019292585225,0.004086545513973974,16,8,20260715,2000
23,20,10,combined_causal_effect,3.059740373125079e-05,0.0,-0.0031756422924900983,0.002665430620704164,16,8,20260715,2000
23,20,2,combined_causal_effect,0.0011946576408193301,0.0,-0.0018820335362667235,0.0042542296570616915,16,8,20260715,2000
23,20,3,combined_causal_effect,0.0019337001327531353,0.0024038461538461453,-0.0036988163981625335,0.006072971599177133,16,8,20260715,2000
