pair_id,layer,hybrid_recovery,attention_sufficiency,attention_necessity,MLP_effect_P10,MLP_effect_P02
city_Paris_into_Tokyo,0,0.9879518072289156,0.0,0.0,0.0,-0.3855421686746988
city_Paris_into_Tokyo,1,0.9879518072289156,0.0,0.0,0.0,0.0
city_Paris_into_Tokyo,2,0.9879518072289156,-0.012048192771084338,0.0,0.0,0.0
city_Paris_into_Tokyo,3,0.9879518072289156,0.0,0.0,0.0,0.0
city_Paris_into_Tokyo,4,0.9879518072289156,0.0,0.0,0.024096385542168676,0.0
city_Paris_into_Tokyo,5,0.9879518072289156,0.0,-0.012048192771084376,0.0,0.0
city_Paris_into_Tokyo,6,0.9879518072289156,-0.012048192771084338,0.0,0.012048192771084338,0.0
city_Paris_into_Tokyo,7,0.9879518072289156,0.0,0.0,-0.012048192771084338,-0.012048192771084265
city_Paris_into_Tokyo,8,0.9879518072289156,-0.012048192771084338,0.012048192771084265,0.0,0.0
city_Paris_into_Tokyo,9,0.9879518072289156,0.012048192771084338,0.0,0.0,-0.012048192771084376
city_Paris_into_Tokyo,10,0.9879518072289156,0.0,0.0,0.012048192771084338,-0.02409638554216864
city_Paris_into_Tokyo,11,0.9879518072289156,0.0,0.0,0.0,-0.03614457831325302
city_Paris_into_Tokyo,12,0.9879518072289156,0.0,0.0,-0.012048192771084338,-0.012048192771084376
city_Paris_into_Tokyo,13,0.9879518072289156,-0.024096385542168676,0.0,0.0,0.0
city_Paris_into_Tokyo,14,0.9879518072289156,0.0,0.0,-0.012048192771084338,-0.012048192771084376
city_Paris_into_Tokyo,15,0.9879518072289156,0.0,0.0,-0.012048192771084338,0.02409638554216864
city_Paris_into_Tokyo,16,0.9879518072289156,-0.012048192771084338,-0.012048192771084376,-0.024096385542168672,0.012048192771084376
city_Paris_into_Tokyo,17,0.9879518072289156,-0.012048192771084338,0.0,0.012048192771084338,0.0
city_Paris_into_Tokyo,18,0.9879518072289156,0.0,0.0,-0.012048192771084338,0.02409638554216864
city_Paris_into_Tokyo,19,0.9879518072289156,-0.012048192771084338,0.0,0.0,0.0
city_Paris_into_Tokyo,20,0.9879518072289156,-0.012048192771084338,-0.012048192771084376,0.024096385542168676,0.0
city_Paris_into_Tokyo,21,0.9879518072289156,-0.012048192771084338,0.0,-0.012048192771084335,0.0
city_Paris_into_Tokyo,22,0.9879518072289156,0.0,0.0,-0.012048192771084335,0.012048192771084376
city_Paris_into_Tokyo,23,0.9879518072289156,0.07228915662650602,0.02409638554216864,-0.012048192771084348,0.048192771084337394
city_Paris_into_Tokyo,24,0.9879518072289156,0.3614457831325301,0.253012048192771,-0.03614457831325302,0.01204819277108432
city_Paris_into_Tokyo,25,0.9879518072289156,0.0,-0.012048192771084376,-0.04819277108433728,-0.01204819277108432
city_Paris_into_Tokyo,26,0.9879518072289156,0.1566265060240964,0.07228915662650603,-0.012048192771084265,0.0
city_Paris_into_Tokyo,27,0.9879518072289156,0.03614457831325301,0.02409638554216864,0.09638554216867479,0.0
city_Paris_into_Tokyo,28,0.9879518072289156,-0.012048192771084338,-0.012048192771084376,0.02409638554216864,-0.01204819277108432
