pair_id,layer,intervention,observed,previous,absolute_delta
scientist_Darwin_into_Einstein,0,previous_P02_source_curve,1.0096153846153846,1.0,0.009615384615384581
scientist_Darwin_into_Einstein,1,previous_P02_source_curve,1.0096153846153846,1.0,0.009615384615384581
scientist_Darwin_into_Einstein,2,previous_P02_source_curve,1.0,0.9903846153846154,0.009615384615384581
scientist_Darwin_into_Einstein,3,previous_P02_source_curve,1.0,0.9807692307692307,0.019230769230769273
scientist_Darwin_into_Einstein,4,previous_P02_source_curve,0.9903846153846154,0.9711538461538461,0.019230769230769273
scientist_Darwin_into_Einstein,5,previous_P02_source_curve,0.9711538461538461,0.9711538461538461,0.0
scientist_Darwin_into_Einstein,6,previous_P02_source_curve,0.9807692307692307,0.9615384615384616,0.019230769230769162
scientist_Darwin_into_Einstein,7,previous_P02_source_curve,0.9711538461538461,0.9615384615384616,0.009615384615384581
scientist_Darwin_into_Einstein,8,previous_P02_source_curve,0.9615384615384616,0.9615384615384616,0.0
scientist_Darwin_into_Einstein,9,previous_P02_source_curve,0.9134615384615384,0.9038461538461539,0.009615384615384581
scientist_Darwin_into_Einstein,10,previous_P02_source_curve,0.9038461538461539,0.8846153846153846,0.019230769230769273
scientist_Darwin_into_Einstein,11,previous_P02_source_curve,0.8557692307692307,0.8461538461538461,0.009615384615384581
scientist_Darwin_into_Einstein,12,previous_P02_source_curve,0.8461538461538461,0.8461538461538461,0.0
scientist_Darwin_into_Einstein,13,previous_P02_source_curve,0.8557692307692307,0.8461538461538461,0.009615384615384581
scientist_Darwin_into_Einstein,14,previous_P02_source_curve,0.8461538461538461,0.8365384615384616,0.009615384615384581
scientist_Darwin_into_Einstein,15,previous_P02_source_curve,0.8461538461538461,0.8269230769230769,0.019230769230769273
scientist_Darwin_into_Einstein,16,previous_P02_source_curve,0.8365384615384616,0.8173076923076923,0.019230769230769273
scientist_Darwin_into_Einstein,17,previous_P02_source_curve,0.8365384615384616,0.8173076923076923,0.019230769230769273
scientist_Darwin_into_Einstein,18,previous_P02_source_curve,0.8076923076923077,0.7980769230769231,0.009615384615384581
scientist_Darwin_into_Einstein,19,previous_P02_source_curve,0.8173076923076923,0.8076923076923077,0.009615384615384581
scientist_Darwin_into_Einstein,20,previous_P02_source_curve,0.8173076923076923,0.7980769230769231,0.019230769230769162
scientist_Darwin_into_Einstein,21,previous_P02_source_curve,0.7980769230769231,0.7788461538461539,0.019230769230769273
scientist_Darwin_into_Einstein,22,previous_P02_source_curve,0.7788461538461539,0.7596153846153846,0.019230769230769273
scientist_Darwin_into_Einstein,23,previous_P02_source_curve,0.5288461538461539,0.5096153846153846,0.019230769230769273
scientist_Darwin_into_Einstein,24,previous_P02_source_curve,0.21153846153846154,0.19230769230769232,0.019230769230769218
scientist_Darwin_into_Einstein,25,previous_P02_source_curve,0.20192307692307693,0.19230769230769232,0.009615384615384609
scientist_Darwin_into_Einstein,26,previous_P02_source_curve,0.07692307692307693,0.057692307692307696,0.019230769230769232
scientist_Darwin_into_Einstein,27,previous_P02_source_curve,0.038461538461538464,0.019230769230769232,0.019230769230769232
scientist_Darwin_into_Einstein,28,previous_P02_source_curve,0.04807692307692308,0.028846153846153848,0.019230769230769232
scientist_Darwin_into_Einstein,29,previous_P02_source_curve,0.07692307692307693,0.057692307692307696,0.019230769230769232
scientist_Darwin_into_Einstein,30,previous_P02_source_curve,0.0673076923076923,0.038461538461538464,0.02884615384615384
scientist_Darwin_into_Einstein,31,previous_P02_source_curve,0.057692307692307696,0.04807692307692308,0.009615384615384616
scientist_Darwin_into_Einstein,32,previous_P02_source_curve,0.11538461538461539,0.09615384615384616,0.019230769230769232
scientist_Darwin_into_Einstein,33,previous_P02_source_curve,0.057692307692307696,0.04807692307692308,0.009615384615384616
scientist_Darwin_into_Einstein,34,previous_P02_source_curve,0.009615384615384616,0.0,0.009615384615384616
scientist_Darwin_into_Einstein,35,previous_P02_source_curve,0.0,0.0,0.0
scientist_Darwin_into_Einstein,0,previous_direct_P10_curve,0.009615384615384616,0.0,0.009615384615384616
scientist_Darwin_into_Einstein,1,previous_direct_P10_curve,0.0,0.0,0.0
scientist_Darwin_into_Einstein,2,previous_direct_P10_curve,0.009615384615384616,0.009615384615384616,0.0
scientist_Darwin_into_Einstein,3,previous_direct_P10_curve,0.009615384615384616,0.0,0.009615384615384616
scientist_Darwin_into_Einstein,4,previous_direct_P10_curve,0.009615384615384616,0.0,0.009615384615384616
scientist_Darwin_into_Einstein,5,previous_direct_P10_curve,0.009615384615384616,0.009615384615384616,0.0
scientist_Darwin_into_Einstein,6,previous_direct_P10_curve,0.019230769230769232,0.009615384615384616,0.009615384615384616
scientist_Darwin_into_Einstein,7,previous_direct_P10_curve,0.0,-0.009615384615384616,0.009615384615384616
scientist_Darwin_into_Einstein,8,previous_direct_P10_curve,-0.019230769230769232,-0.019230769230769232,0.0
scientist_Darwin_into_Einstein,9,previous_direct_P10_curve,-0.038461538461538464,-0.028846153846153848,0.009615384615384616
scientist_Darwin_into_Einstein,10,previous_direct_P10_curve,-0.08653846153846154,-0.08653846153846154,0.0
scientist_Darwin_into_Einstein,11,previous_direct_P10_curve,-0.11538461538461539,-0.1346153846153846,0.019230769230769218
scientist_Darwin_into_Einstein,12,previous_direct_P10_curve,-0.11538461538461539,-0.1346153846153846,0.019230769230769218
