pair_id,unordered_pair_id,shard_id,donor_entity,recipient_entity,role,source_layer_s,relay_layer_t,relay_condition,source_positions,relay_positions,recipient_margin,donor_margin,intervention_margin,baseline_separation,normalized_recovery,donor_logit,recipient_logit
scientist_Einstein_into_Newton,scientist_Einstein_Newton,0,Einstein,Newton,scientist,28,,source_patch_end_to_end,[2],[],-5.625,2.875,-4.0,8.5,0.19117647058823528,27.0,31.0
scientist_Einstein_into_Newton,scientist_Einstein_Newton,0,Einstein,Newton,scientist,29,,source_patch_end_to_end,[2],[],-5.625,2.875,-4.125,8.5,0.17647058823529413,26.875,31.0
scientist_Einstein_into_Newton,scientist_Einstein_Newton,0,Einstein,Newton,scientist,30,,source_patch_end_to_end,[2],[],-5.625,2.875,-4.125,8.5,0.17647058823529413,26.875,31.0
scientist_Einstein_into_Newton,scientist_Einstein_Newton,0,Einstein,Newton,scientist,31,,source_patch_end_to_end,[2],[],-5.625,2.875,-4.375,8.5,0.14705882352941177,26.75,31.125
scientist_Einstein_into_Newton,scientist_Einstein_Newton,0,Einstein,Newton,scientist,32,,source_patch_end_to_end,[2],[],-5.625,2.875,-4.375,8.5,0.14705882352941177,26.75,31.125
scientist_Einstein_into_Newton,scientist_Einstein_Newton,0,Einstein,Newton,scientist,33,,source_patch_end_to_end,[2],[],-5.625,2.875,-4.5,8.5,0.1323529411764706,26.625,31.125
scientist_Einstein_into_Newton,scientist_Einstein_Newton,0,Einstein,Newton,scientist,34,,source_patch_end_to_end,[2],[],-5.625,2.875,-5.5,8.5,0.014705882352941176,26.0,31.5
scientist_Einstein_into_Newton,scientist_Einstein_Newton,0,Einstein,Newton,scientist,35,,source_patch_end_to_end,[2],[],-5.625,2.875,-5.625,8.5,0.0,25.875,31.5
scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,0,Einstein,Darwin,scientist,0,,source_patch_end_to_end,[2],[],-5.875,7.125,7.375,13.0,1.0192307692307692,29.75,22.375
scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,0,Einstein,Darwin,scientist,1,,source_patch_end_to_end,[2],[],-5.875,7.125,7.375,13.0,1.0192307692307692,29.625,22.25
scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,0,Einstein,Darwin,scientist,2,,source_patch_end_to_end,[2],[],-5.875,7.125,7.5,13.0,1.0288461538461537,29.75,22.25
scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,0,Einstein,Darwin,scientist,3,,source_patch_end_to_end,[2],[],-5.875,7.125,8.125,13.0,1.0769230769230769,30.375,22.25
scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,0,Einstein,Darwin,scientist,4,,source_patch_end_to_end,[2],[],-5.875,7.125,8.375,13.0,1.0961538461538463,30.5,22.125
scientist_Einstein_into_Darwin,scientist_Darwin_Einstein,0,Einstein,Darwin,scientist,5,,source_patch_end_to_end,[2],[],-5.875,7.125,8.875,13.0,1.1346153846153846,30.75,21.875
